season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,day,hour
1,0,0,1,9.84,14.395,81,6.916656665599232,3.0,13.0,16.0,1,1,1,0
1,0,0,1,9.02,13.635,80,6.545093431824569,8.0,32.0,40.0,1,1,1,1
1,0,0,1,9.02,13.635,80,6.438756942281403,5.0,27.0,32.0,1,1,1,2
1,0,0,1,9.84,14.395,75,6.6437280946309265,3.0,10.0,13.0,1,1,1,3
1,0,0,1,9.84,14.395,75,5.687297326568589,0.0,1.0,1.0,1,1,1,4
1,0,0,2,9.84,12.88,75,6.0032,0.0,1.0,1.0,1,1,1,5
1,0,0,1,9.02,13.635,80,9.475087279388674,2.0,0.0,2.0,1,1,1,6
1,0,0,1,8.2,12.88,86,12.899197863950857,1.0,2.0,3.0,1,1,1,7
1,0,0,1,9.84,14.395,75,13.518544492975265,1.0,7.0,8.0,1,1,1,8
1,0,0,1,13.12,17.425,76,15.918259054507548,8.0,6.0,14.0,1,1,1,9
1,0,0,1,15.58,19.695,76,16.9979,12.0,24.0,36.0,1,1,1,10
1,0,0,1,14.76,16.665,81,19.0012,26.0,30.0,56.0,1,1,1,11
1,0,0,1,17.22,21.21,77,19.0012,29.0,55.0,84.0,1,1,1,12
1,0,0,2,18.86,22.725,72,19.9995,47.0,47.0,94.0,1,1,1,13
1,0,0,2,18.86,22.725,72,19.0012,35.0,71.0,106.0,1,1,1,14
1,0,0,2,18.04,21.97,77,19.9995,40.0,70.0,110.0,1,1,1,15
1,0,0,2,17.22,21.21,82,19.9995,41.0,52.0,93.0,1,1,1,16
1,0,0,2,18.04,21.97,82,19.0012,15.0,52.0,67.0,1,1,1,17
1,0,0,3,17.22,21.21,88,16.9979,9.0,26.0,35.0,1,1,1,18
1,0,0,3,17.22,21.21,88,16.9979,6.0,31.0,37.0,1,1,1,19
1,0,0,2,16.4,20.455,87,16.9979,11.0,25.0,36.0,1,1,1,20
1,0,0,2,16.4,20.455,87,12.998,3.0,31.0,34.0,1,1,1,21
